pm25,temp
13.5,42.1
13.8,42.2
13,42.7
13.1,43.3
19.6,46.9
17.4,46
7,49.2
6.1,50.2
6.1,50.6
4.5,41.3
5.2,36.8
6.5,37.7
13.6,42.6
3.9,44.6
6.8,42.6
3.7,41.7
5.6,45.1
10.5,47.2
7.7,47.8
5.2,44.6
5.2,48.2
3.3,55.1
4.2,46.6
5.9,41.2
11.1,48.1
7.9,53.6
13.9,56
8.2,51.9
4.8,52.4
3.5,50.4
3.4,50
2.3,49.7
4.7,47.8
2.9,51.8
6.1,49.6
10.8,50.3
7.9,54.3
4.5,53.6
3.3,54
4.3,48.3
5.3,49.8
4.7,50.6
5.7,47.6
5.3,50.8
9.7,51.8
4.7,58.9
4,47.4
3.2,33.2
4.7,41.9
4.7,52.1
6,56.6
5.6,59.9
4.4,56.7
4,42.8
8.7,40.6
16.7,45.9
8.5,51.8
5.8,55.8
3.2,58
3.9,60.7
6.8,56.7
7.5,52.6
7.7,47.9
5.2,43.6
7.9,55
4.8,56.8
3.7,53.8
4.9,47.6
6.2,52.9
7,59.1
3.6,59.4
4.9,59.1
3.5,50
9.8,53
3.2,57.9
4.9,63.4
2.3,57.7
5,58.4
5.4,62.2
4.5,65.3
2.5,62.7
3.7,61.6
6.6,60.4
8,63.3
5.9,64.6
5.3,63.1
5.5,54.2
4.3,54.4
5.1,56.2
4.3,60
5.7,62.5
5.5,66.3
3.6,63.1
3.6,68.8
5.4,71.6
13.9,61.4
5.5,51
7,59.1
5.2,62.2
7.3,63.6
5.7,71.8
3.4,69
4.4,66.3
4.8,65.1
4.8,66.9
4,68.7
3.6,67.3
4.1,69.5
3.3,70.2
4.3,66.5
3.5,62.7
6,59.2
5.1,64.4
3.6,61.1
5.4,61.2
4.6,68.5
5.4,69
5.4,69.4
4.2,66.2
5.1,69.5
5.4,72.5
4.8,68.2
4.8,71.3
5.1,75.8
7.1,72.7
5.7,78
5.8,80.1
5,79.4
8.1,75
8.1,78.3
7.3,83.3
7.1,81.9
7.3,81.8
5.4,81.1
8.9,75.7
4.8,85.2
8.6,71.7
8.2,74.7
7.6,74.9
5.9,75.4
4.8,77.8
4.8,77.6
4.6,75.5
4.5,77.4
4.9,78.6
5.5,83.2
8.2,85.3
5.8,84.9
4.6,78.1
4.3,75.1
5.3,77.5
4.4,78.7
4.9,77.5
5.8,73.7
6.4,74.9
8.1,84.1
7.7,86.6
4.6,82.7
3.9,82.2
4.6,81.2
5.2,81.2
5.5,84.7
6.1,88.8
9.5,90.6
8.2,92.2
5.6,90.8
4.5,85.6
6.9,81.6
4.3,73.2
9,80.2
10.1,83.6
6.1,80.1
5.3,81.4
7.4,84.4
6,84.4
4,85
3.4,86.9
4.5,85.6
5.1,86.2
10.9,86.8
5.7,89.4
9,90.5
13,86
6.6,84.8
7.3,85.7
7.8,87.9
8.3,85.5
5.8,83.9
10.9,84
8,84.3
4.8,85.1
5.1,88.4
7.8,89.2
5.6,89.4
5.7,88.3
25.7,89
6.3,92.5
7.6,94.1
9.6,95.9
10.3,95.3
6.6,95.8
7,95.7
10.6,90.9
7.2,87.7
8.7,88.7
6.5,88.6
6.2,88.9
5.3,87.8
8.8,85.2
10.4,83.4
7.5,82.8
6.3,81.1
5.6,75.5
5,78.3
4.7,84.5
3.6,84.9
5.4,87.5
5.8,90.4
8.3,93.5
7.8,88.8
7.2,86.9
4.8,85.4
5.8,86.5
4.5,90.5
6.3,88.4
5.5,87.2
7.5,87.8
5.2,89.4
6.3,92.1
6.2,92.9
6.8,94.4
7.3,94.5
6.9,94.4
7.3,94.7
7.6,88.6
8.3,84.4
8.3,84.8
12.5,87.8
9.1,90.9
13.9,90.6
11.9,89.8
13.1,89.3
10.6,87
7.5,85.1
8.5,85.9
10.3,88.1
12.3,90.9
9.4,90.5
7.3,84.4
6.1,83.1
5,80.8
7.2,82.5
10.9,86.3
6.1,87.5
5.7,83.5
6.5,82.6
10.3,85.9
11,81.5
3.1,58
2.6,56.8
4.4,66.2
6.4,72.2
8,77.8
8.3,71.4
8.3,72.9
7.4,78
7.8,78.4
9.1,75.8
12.5,74.9
11.3,76.2
18.4,77.1
16.6,78.9
9.8,80
8.3,80
10,83.1
7.4,83.8
6.2,83.8
12.2,67
8.5,67.9
12.4,72.5
9.6,75.5
8.1,76.1
7.2,75.9
11.4,73.7
13.5,76
14.2,76.7
15.8,76.4
10.8,77.2
7.9,77.2
7.3,75.9
14.1,73.7
17.4,74.9
11.2,78.8
7.9,71.4
8.6,65.9
8.8,72.3
8.4,75.7
9.8,74.3
10.1,74.5
11.3,73.3
8.7,75.7
7.2,69.4
8.3,67.7
6.7,76.1
8.4,52.9
6.9,32.2
7.5,42.6
6.4,52.7
11,58.6
10.6,62
6.3,65.3
6.5,63.9
8.9,63.8
10.7,65.9
4.9,68.7
7.4,69.6
8.4,70.5
10.1,69
8.1,62.9
7.3,51.2
10.1,53.2
12.3,58.2
10,60
8.9,61.1
9.8,56.7
10.3,57.9
8.9,63.7
11.9,67.5
15.5,69.2
18.1,68.5
12.6,67.8
9.7,61.7
10.2,64.3
8.6,59.5
7.9,54.1
13.5,57.3
12.4,53.1
6.8,45.6
7,46.9
9.3,45.2
5.3,48.1
5.1,38.9
9.1,40.8
11.2,44.9
10.2,47
13.7,47.1
13.1,48.8
20.4,50.2
11.2,50.8
4.1,50.5
4.4,52.7
6.9,43.5
10.9,41.8
4.3,41.1
7,36.8
14.7,39
4.9,45.5
6.6,54
12.4,55.5
7.3,52
5.9,41.4
7.3,37.6
18.2,38.9
6,41.6
2.9,47.3
8.8,49.2
7.7,50.5
9.2,47.1
12,45.1
14.6,46.9
9.4,46
3.4,37.2
5.8,35.3
6.8,38.8
5.3,43.6
6.1,51.2
7.1,51
10.4,50.2
9.2,50.6
10.9,56.1
8.9,46.9
8,43.6
5.6,48.4
7.6,51.6
8.5,53.8
8.8,49.4
3.2,44.4
4.3,39.8
3.6,40.2
3.5,50.6
7.7,53.4
4.3,49.9
4.4,48.8
4,54.6
6.3,57.8
2.4,61.7
2.6,54.9
4.5,53.2
5.4,57.1
3.9,60.1
4.5,60.7
4.2,61.1
5.9,57.3
7,56.7
5,52.8
5.7,24.2
11.3,22.9
12.5,36.6
4.9,44.7
6.1,40.1
8.9,43.6
11.8,56.3
9.5,53.6
6.1,50.3
8.8,55.1
6.7,61.4
10.7,60.5
13.9,54
10.7,57.7
8.7,54.8
8.6,46.3
9.4,47.1
7,55
10.5,58.9
11.1,65.5
12.3,68.6
8.8,63.4
7.4,62.1
7.3,66.3
12.6,51.3
9.8,48.6
6.6,57.5
54.8,56.7
6.2,52
9.1,57.4
7.1,61.7
9,66.1
8.6,67.9
9.2,58.3
10.8,56.1
8,48.2
5.5,52.2
6.1,59.8
8,55.5
8.5,59.5
8.2,66.1
12.2,70.8
15.1,59.6
10.3,60.5
10.6,70.3
11.2,72.7
9.9,72.7
6.9,75.5
6.6,73.5
4.5,70
